asin,question,item_name,hours_diff,label
B017PICGL0,Are boots cold reliable?,"Reebok Work Men's Zigkick RB7005 Work Shoe, Brown, 9 W US",-1,Pre
B01HI8YEZS,is the main body rubber or plastic?,"3C-Aone Galaxy S5 Case,Mangix Built-in Glass Luxury Aluminum Alloy Protective Metal Extreme Shockproof Military Bumper Heavy Duty Cover Shell Case Skin Protector for Samsung Galaxy S5-Black",21,Pre
B07GZ1LF4R,Do you know the thread pitch/count for the tang?,"ColdLand |14.00"" Hand Forged Damascus Steel Blank Blade with Guard for Bowie Knife Making Supplies NB35",166,Post
B07BMNPRFN,The item ordered came tarnished and my son needed it by wednesday!!! is there any way you can send a replacement as soon as possible??!!,BEICHUANG Beidou 7 Stars Big Dipper Star Pendant Necklaces Chain for Women Circle Sliver Necklace Simple Jewel (Alloy),116,Post
B075QQKFK3,"""I purchased these and now they look weird with my stock headlights.  What headlights would """"match"""" these?""","Alla Lighting H8 H11 LED Bulbs Xtreme Super Bright 8000K Ice Blue 12V 3030 36-SMD H16 Fog Lights DRL Replacement for Cars, Trucks",1021,Post
B0189R9470,How long after placing order until US delivery?,Sport/Slim Reversible Waterproof Medical Alert Bracelet. Incl. 9 Lines Engraving. Black/Gray,-2,Pre
B07JFSCJB6,Wich one would you recommend to go with torque pro(obd2) for a 2008 audi a4 i need to know,MCWAUTO Android 9.0 Car GPS Stereo for Audi A4 S4 RS4 2002 2003 2004 2005 2006 2007 2008 Quad Core BT Radio RDS USB Mirrorlink SWC Reverse Camera,42,Post
B004QYME78,Will this fit a Stern Monopoly machine?,Game Room Guys Universal Pinball Ball Shooter Assembly,-39,Pre
B01N811J6K,what year were these knives made?,"MTech USA MT-588BK Fixed Blade Neck Knife, Black Blade and Grenade-Style Handle, 4-1/4-Inch Overall (2 Packs)",0,Pre
B019PJV3N4,Is the power cord detachable?,"AcuRite 75100 Large 18â€ Digital LED Wall Clock with Date, Temperature and Fold-Out Stand, Inch, Red",-16,Pre
B0145EXK5S,Anyone have their soda stream bottle turn into a fountain after adding the lemonade syrup to it? Mine acted like a Mentos/coke experiment ....,"SodaStream Homestyle Lemonade Syrup, 14.8 Fluid Ounce",149,Post
B00OL5P1G8,How can I be a prime members,"Sunbeam Steam Master 1400 Watt Mid-size Anti-Drip Non-Stick Soleplate Iron with Variable Steam control and 8' Retractable Cord, Black/Blue, GCSBCL-202-000",-706,Pre
B00E4W1644,Will this work for a 2016 jeep wrangler,Maestro ADS-MRR Universal Radio Replacement and Steering Wheel Interface,-1,Pre
B076K53385,What ages should dogs start on these chews?,"Hemp Chewz Hip & Joint Supplement for Dogs â€“ Infused with 100% Organic Hemp Oil + Glucosamine Chondroitin w/Turmeric, MSM for All-Natural Pain Relief & Mobility Support â€“ 120 Soft Chews",562,Post
B010IUVOX8,I wear 10 1/2 shoes. what size should i get? 9 or 11,"Rockin Footwear Mens Aqua Foot Water Shoes (10, Neon Blue)",668,Post
B07195DHJC,Does anyone know if you can add an additional dimmer switch to this light to make it less bright?,Brightech Twist - Modern LED Spiral Floor Lamp for Living Room Bright Lighting - Built in Dimmer for Bedroom Ambience Or TV Soft Light - Futuristic Indoor Pole Lamp for Offices - Black,78,Post
B019993ZVS,Whats the return policy on this item,Earth Elements Big Kid's (Youth) Long Sleeve T-Shirt Medium Red,-2,Pre
B075Q9X6RN,Do they actually look and feel like real leather?,"rismart Women's Knee High Tall Winter Waterproof Split Leather Riding Boots SN02915(Black,us8.5)",-4,Pre
B07JB3CT33,"Can this camera be used via satellite internet, and is it support sdxc card ?","Victure 1080P FHD WiFi Camera with Motion Tracking Sound Detection 2.4 G WiFi Security Indoor Camera with 2-Way Audio, Night Vision, Home Camera for Baby/Pet/Elder",-1,Pre
B0002IJQDC,Will this prevent my dogs from getting their paws stuck on ice?,"Mushers Secret Paw Wax (60g) â€“ All-Season Pet Paw Protection Against Heat, Sand & Snow â€“ Cat & Dog Paw Balm with Beeswax & Vitamin E â€“ Gluten, Nut & Soy Free â€“ Great for Dogs, Cats, Horses & Chickens",-22,Pre
B07C235D9G,"Is it possible to have indicator light on, when light is off? (Question for MartinJerry)","Smart Switch by MartinJerry | Compatible with Alexa, Smart Home Devices Works with Google Home, No Hub Required, Easy Installation and App Control as Smart Switch On/Off/Timing (2 Pack)",556,Post
B00006L7RV,What receiver are you using? My 100w per channel Yamaha requires near half volume to get these to a normal listening level,"Bose 301-V Stereo Loudspeakers (Pair, Black)",134,Post
B0194QWCMY,Does this work with the babyroues roll & go stroller ?,"Englacha 2-in-1 Cozy X Rider, Black - Child Rider Stroller Attachment with Saddle Seat and Standing Platform - Universal Fit for Most Prams - Quick and Easy to Use - Designed for Safety",-14,Pre
B000VSIKV2,where can  i order spare parts for this gun,Senco SNS41 16-Gauge Construction Stapler,32020,Post
B07FXMKDHC,Why do the batteries in the picture say 1C if these are 3C?,DTK 0RG049 PT434 KY265 W1193 Laptop Battery Replacement for Dell Latitude E6400 E6410 E6500 E6510 Precision Notebook 11.1V 5200mAh 6-Cell,-183,Pre
B073Q94MGL,"How is it different from  365 everyday value, coconut water, 33.8 fl oz and which is the original coconut water?","365 Everyday Value, Organic Coconut Water, 33.8 fl oz",-356,Pre
B01CG1J6NC,Is the whole bag rfid or just one pocket?,"Travelon Anti-theft Heritage Crossbody Bag, Indigo",-5,Pre
B00014FI34,Can you combine this with traditional prescribed antibiotics?,"HomeoPet Nose Relief, 15 ml",53,Post
B07GN4WW3W,How to install cables,Battery Disconnect Switch 8V - 60V Battery DC Power Cut Off Switch 275/1250 A Waterproof Master Isolator for Marine Boat Yacht Truck Car SUV RV ATV UTV Vehicles - 3 Months Warranty,373,Post
B07GXFS3M6,"does the camera have to be in line of sight to the receiver, will these work if i mount the camera under my truck bed?","CAMONS Digital Wireless Backup Camera for RV, Trucks, Trailer Backup Camera with Monitor (7â€ Quad Split No Flicker, Built-in DVR), 120Â°HD Night Vision IP69 Waterproof Camera Rear/Side/Front with Mic",-2,Pre
B003VAK1FA,I have the z906 system were can I get extra wire it doesnâ€™t fit my room,Logitech Z506 Surround Sound Home Theater Speaker System,-270,Pre
B07798GYK5,Is it possible to get a wood inlay background instead of carbon fiber?,NUNCAD Men's Rose Gold Plated Tungsten Wedding Ring Celtic Dragon Inlay Size 10,-4618,Pre
B00F43LEKS,Most of my elderberry syrups are 100mg to two teaspoons. This one is over 1900 mg for 1 teaspoon. Why is the dosing so high?,"Gaia Herbs Black Elderberry Syrup - Daily Immune Support with Antioxidants, Organic Sambucus Elderberry Supplement, 5.4 Fl Oz (Pack of 1)",378,Post
B07DBXNV58,What comes in the box?,"Anker Wireless Charger, PowerWave 7.5 Stand, Qi-Certified, Fast Charging iPhone 11, 11 Pro, 11 Pro Max, XR, Xs Max, Xs, X, 8, 8 Plus, Galaxy S20 S10 S9 S8, Note 10 Note 9 (No AC Adapter) - Black",-4,Pre
B07GCF672P,what is the diameter of this wheel,"Sihoo Ergonomics Office Chair Computer Chair Desk Chair, Adjustable Headrests Chair Backrest and Armrest's Mesh Chair (Black) â€¦",-583,Pre
B077SQ3BZR,"Is the inside dimension between the forks, (double wheel width + gaps filled by spacers) at least 42mm (>=1.654-inch, ~ 1 11/16 inch)?  Thank you.","femor 2â€ Swivel Caster Wheels, Heavy Duty Locking Casters Set of 4 with 2 Brakes, Replacement Casters for Furniture, Carts, Dolly,Trolley- 120 Lbs Per Caster",-15,Pre
B06XH59131,How i canc i contact the seller?  i made a mistake i thought i ordered for  an iphone s8 plus i need to see his store to see if i can return it for th,"Galaxy S8 Plus Case, Zuslab Pattern Design, Shockproof Armor Bumper, Heavy Duty Protective Cover for Samsung Galaxy S8 Plus (Ribbon Bow)",141,Post
B0743NYHS3,I got the product on my coat. How do I remove it?,SaverPak Single- 1 JT Eaton Stick-A-Fly Glue Fly Stick Trap,4175,Post
B07KVS3FMT,What is the manufacturer warranty on this??,"Felimoda 6.5"" inch Two Wheels Electric Smart Self Balancing Scooter Hoverboard with Wireless Speaker LED Light-UL 2272 Certified for Kids Gift and Adult,Blue",-1,Pre
B07J4922BL,"One of the led lights i purchased is giving me hyperflash,what do i need to do to get rid of this?",Error Free Dual Color Switchback DRL LED Turn Signal Light Bulbs No Hyper Flash Built-in Resistors All in One (3157),240,Post
B01MTL545O,"What is the warranty on this, mine has moisture in it causing most to not work? please let me know before i post my review. thank you.",Wiipro 60'' Truck Tail Brake Lights Strip Red/White Reverse Turn Signals Bulb for Trailer Pickup SUV Ford GMC Toyota 4x4 Dodge Ram Chevy chevrolet Silverado,5783,Post
B004DZONZ6,Edison led,"Lutron Credenza LED+ Plug-In Lamp Dimmer Switch for dimmable LED, Halogen and Incandescent Bulbs | TTCL-100H-BR | Brown",-81,Pre
B07BR1J51X,How do I file a warranty claim?,"Deformable LED Garage Lights Motion Activated - Led Deformable Garage Light Tanbaby Garage Light Motion Sensor Garage Light, Radar Home Lighting for Garage, Warehouse,Workshop,Basement (Radar)",2784,Post
B078YZF1V9,How do you attach the stand to the monitor?  struggling with it for 20 minutes and no luck!  could not find a youtube vid on it either.  hard!,"VIOTEK H270 27â€ Ultra Thin Computer Monitor with Frameless LED Display 1920 x 1080p 60Hz and 2ms with HDMI and VGA, VESA,27"" 1080p 60Hz Black",72,Post
B07HPDR8D8,Iâ€™m having trouble stopping my workouts during the pool swim option. It takes me forever tapping the screen to get it unlocked to stop session. Help?,"Huawei Band 3 Pro All-in-One Fitness Activity Tracker, 5ATM Water Resistance for Swim, 24/7 Heart Rate Monitor, Built-in GPS, Multi-Sports Mode, Sleep Tracking, Gold, One Size",1061,Post
